Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C2",CP_Radial_D6.3mm_P2.50mm,2,C_Polarized_US,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D78, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,76,1N4148,
D76,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z4.9mm,1,CAPSLED,
D77,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
J1,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Pin,
"J2, J3",1x06_P2.54mm,2,Conn_01x06,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,330,
SW1,SW_Cherry_MX_1.00u_PCB,1,A_Key,
SW10,SW_Cherry_MX_1.00u_PCB,1,J_Key,
SW11,SW_Cherry_MX_1.00u_PCB,1,K_Key,
SW12,SW_Cherry_MX_1.00u_PCB,1,L_Key,
SW13,SW_Cherry_MX_1.00u_PCB,1,M_Key,
SW14,SW_Cherry_MX_1.00u_PCB,1,N_Key,
SW15,SW_Cherry_MX_1.00u_PCB,1,O_Key,
SW16,SW_Cherry_MX_1.00u_PCB,1,P_Key,
SW17,SW_Cherry_MX_1.00u_PCB,1,Q_Key,
SW18,SW_Cherry_MX_1.00u_PCB,1,R_Key,
SW19,SW_Cherry_MX_1.00u_PCB,1,S_Key,
SW2,SW_Cherry_MX_1.00u_PCB,1,B_Key,
SW20,SW_Cherry_MX_1.00u_PCB,1,T_Key,
SW21,SW_Cherry_MX_1.00u_PCB,1,U_Key,
SW22,SW_Cherry_MX_1.00u_PCB,1,V_Key,
SW23,SW_Cherry_MX_1.00u_PCB,1,W_Key,
SW24,SW_Cherry_MX_1.00u_PCB,1,X_Key,
SW25,SW_Cherry_MX_1.00u_PCB,1,Y_Key,
SW26,SW_Cherry_MX_1.00u_PCB,1,Z_Key,
SW27,SW_Cherry_MX_1.00u_PCB,1,1_Key,
SW28,SW_Cherry_MX_1.00u_PCB,1,2_Key,
SW29,SW_Cherry_MX_1.00u_PCB,1,3_Key,
SW3,SW_Cherry_MX_1.00u_PCB,1,C_Key,
SW30,SW_Cherry_MX_1.00u_PCB,1,4_Key,
SW31,SW_Cherry_MX_1.00u_PCB,1,5_Key,
SW32,SW_Cherry_MX_1.00u_PCB,1,6_Key,
SW33,SW_Cherry_MX_1.00u_PCB,1,7_Key,
SW34,SW_Cherry_MX_1.00u_PCB,1,8_Key,
SW35,SW_Cherry_MX_1.00u_PCB,1,9_Key,
SW36,SW_Cherry_MX_1.00u_PCB,1,0_Key,
SW37,SW_Cherry_MX_1.00u_PCB,1,-_Key,
SW38,SW_Cherry_MX_1.00u_PCB,1,=_Key,
SW39,SW_Cherry_MX_1.00u_PCB,1,`_Key,
SW4,SW_Cherry_MX_1.00u_PCB,1,D_Key,
SW40,SW_Cherry_MX_1.00u_PCB,1,;_Key,
SW41,SW_Cherry_MX_1.00u_PCB,1,'_Key,
SW42,SW_Cherry_MX_1.00u_PCB,1,\_Key,
SW43,SW_Cherry_MX_1.00u_PCB,1,",_Key",
SW44,SW_Cherry_MX_1.00u_PCB,1,._Key,
SW45,SW_Cherry_MX_1.00u_PCB,1,/_Key,
SW46,SW_Cherry_MX_2.00u_PCB,1,LSHIFT_Key,
SW47,SW_Cherry_MX_2.00u_PCB,1,RSHIFT_Key,
SW49,SW_Cherry_MX_1.00u_PCB,1,CTRL_Key,
SW5,SW_Cherry_MX_1.00u_PCB,1,E_Key,
SW50,SW_Cherry_MX_1.75u_PCB,1,CAPS_Key,
SW51,SW_Cherry_MX_1.00u_PCB,1,DEL_Key,
SW52,SW_Cherry_MX_1.00u_PCB,1,BACKSPACE_Key,
SW53,SW_Cherry_MX_6.25u_PCB,1,SPACE_Key,
SW54,SW_Cherry_MX_1.00u_PCB,1,ESC_Key,
SW55,SW_Cherry_MX_1.75u_PCB,1,TAB_Key,
SW56,SW_Cherry_MX_1.50u_PCB,1,RETURN_Key,
SW57,SW_Cherry_MX_1.00u_PCB,1,LINEFEED_Key,
SW58,SW_Cherry_MX_1.00u_PCB,1,UP_Key,
SW59,SW_Cherry_MX_1.00u_PCB,1,DOWN_Key,
SW6,SW_Cherry_MX_1.00u_PCB,1,F_Key,
SW60,SW_Cherry_MX_1.00u_PCB,1,LEFT_Key,
SW61,SW_Cherry_MX_1.00u_PCB,1,RIGHT_Key,
SW62,SW_Cherry_MX_2.00u_PCB,1,NUM0_Key,
SW63,SW_Cherry_MX_1.00u_PCB,1,NUM1_Key,
SW64,SW_Cherry_MX_1.00u_PCB,1,NUM2_Key,
SW65,SW_Cherry_MX_1.00u_PCB,1,NUM3_Key,
SW66,SW_Cherry_MX_1.00u_PCB,1,NUM4_Key,
SW67,SW_Cherry_MX_1.00u_PCB,1,NUM5_Key,
SW68,SW_Cherry_MX_1.00u_PCB,1,NUM6_Key,
SW69,SW_Cherry_MX_1.00u_PCB,1,NUM7_Key,
SW7,SW_Cherry_MX_1.00u_PCB,1,G_Key,
SW70,SW_Cherry_MX_1.00u_PCB,1,NUM8_Key,
SW71,SW_Cherry_MX_1.00u_PCB,1,NUM9_Key,
SW72,SW_Cherry_MX_1.00u_PCB,1,NUM._Key,
SW73,SW_Cherry_MX_2.00u_Vertical_PCB,1,NUMENTER_Key,
SW74,SW_Cherry_MX_1.00u_PCB,1,NUM-_Key,
SW75,SW_Cherry_MX_1.00u_PCB,1,"NUM,_Key",
SW76,SW_Cherry_MX_1.00u_PCB,1,[_KEY,
SW77,SW_Cherry_MX_1.00u_PCB,1,]_KEY,
SW8,SW_Cherry_MX_1.00u_PCB,1,H_Key,
SW9,SW_Cherry_MX_1.00u_PCB,1,I_Key,
U1,RPi_Pico_SMD_TH,1,Pico,
