Designator,Mid X,Mid Y,Rotation,Layer
BZ1,288.0,-42.5,270.0,top
C1,253.25,-44.5,270.0,top
C2,266.25,-44.75,270.0,top
D1,302.01,-121.33,270.0,top
D10,353.91,-101.62,270.0,top
D11,302.61,-140.39,270.0,top
D12,321.78,-140.5,270.0,top
D13,359.24,-121.11,270.0,top
D14,340.08,-121.11,270.0,top
D15,321.24,-121.22,270.0,top
D16,334.74,-101.62,270.0,top
D17,226.38,-140.5,270.0,top
D18,220.5,-101.73,270.0,top
D19,264.39,-140.61,270.0,top
D2,283.17,-121.33,270.0,top
D20,315.57,-102.38,270.0,top
D21,277.67,-102.27,270.0,top
D22,225.51,-121.22,270.0,top
D23,258.4,-102.16,270.0,top
D24,201.33,-101.73,270.0,top
D25,282.79,-83.11,270.0,top
D26,263.84,-83.11,270.0,top
D27,244.35,-83.11,270.0,top
D28,225.4,-83.11,270.0,top
D29,206.56,-83.11,270.0,top
D3,264.06,-121.33,270.0,top
D30,187.6,-83.11,270.0,top
D31,206.99,-140.07,270.0,top
D32,296.84,-102.16,270.0,top
D33,378.09,-121.11,270.0,top
D34,416.1,-83.11,270.0,top
D35,397.04,-83.21,270.0,top
D36,378.09,-83.32,270.0,top
D37,359.14,-83.32,270.0,top
D38,340.08,-83.21,270.0,top
D39,320.69,-83.21,270.0,top
D4,239.77,-101.95,270.0,top
D40,301.52,-83.32,270.0,top
D41,392.14,-102.16,270.0,top
D42,408.58,-140.5,270.0,top
D43,179.65,-140.28,270.0,top
D44,379.07,-140.07,270.0,top
D45,360.12,-139.85,270.0,top
D46,341.06,-140.07,270.0,top
D47,444.96,-121.11,270.0,top
D48,397.47,-121.01,270.0,top
D49,421.54,-121.33,270.0,top
D5,244.84,-121.34,270.0,top
D50,176.06,-102.38,270.0,top
D51,168.76,-82.89,270.0,top
D52,288.45,-159.78,270.0,top
D53,435.26,-83.0,270.0,top
D54,444.63,-102.27,270.0,top
D55,180.09,-123.51,270.0,top
D56,153.52,-121.33,270.0,top
D57,503.98,-121.33,270.0,top
D58,484.93,-121.11,270.0,top
D59,494.84,-139.95,270.0,top
D6,245.44,-140.61,270.0,top
D60,377.87,-63.94,270.0,top
D61,434.94,-63.94,270.0,top
D62,416.1,-63.94,270.0,top
D63,397.25,-63.94,270.0,top
D64,436.24,-140.39,270.0,top
D65,523.04,-140.39,270.0,top
D66,523.04,-83.0,270.0,top
D67,503.88,-82.89,270.0,top
D68,484.82,-82.89,270.0,top
D69,523.15,-102.16,270.0,top
D7,283.77,-140.5,270.0,top
D70,503.98,-102.16,270.0,top
D71,484.93,-102.16,270.0,top
D72,523.26,-121.33,270.0,top
D73,541.88,-102.06,270.0,top
D74,541.88,-83.0,270.0,top
D75,542.7,-130.81,270.0,top
D76,176.44,-113.23,0.0,top
D77,290.33,-25.75,180.0,top
D78,411.25,-102.61,270.0,top
D8,206.12,-121.11,270.0,top
D9,373.08,-101.62,270.0,top
J1,259.4,-31.7,90.0,top
J2,186.35,-56.1,0.0,top
J3,186.35,-46.0,0.0,top
R1,210.54,-37.8,0.0,top
R2,175.44,-123.35,90.0,top
SW1,215.94,-117.8675,0.0,top
SW10,330.472,-117.8675,0.0,top
SW11,349.544,-117.8675,0.0,top
SW12,368.616,-117.8675,0.0,top
SW13,331.39,-136.9225,0.0,top
SW14,312.27,-136.9225,0.0,top
SW15,363.52,-98.76,0.0,top
SW16,382.653333,-98.76,0.0,top
SW17,211.053333,-98.76,0.0,top
SW18,268.153333,-98.76,0.0,top
SW19,235.112,-117.81,0.0,top
SW2,293.17,-136.9225,0.0,top
SW20,287.186666,-98.76,0.0,top
SW21,325.253333,-98.76,0.0,top
SW22,274.09,-136.9225,0.0,top
SW23,230.086666,-98.76,0.0,top
SW24,235.99,-136.9225,0.0,top
SW25,306.22,-98.76,0.0,top
SW26,216.89,-136.9225,0.0,top
SW27,197.02,-79.71,0.0,top
SW28,216.07,-79.71,0.0,top
SW29,235.12,-79.71,0.0,top
SW3,254.97,-136.9225,0.0,top
SW30,254.17,-79.71,0.0,top
SW31,273.22,-79.71,0.0,top
SW32,292.27,-79.71,0.0,top
SW33,311.32,-79.71,0.0,top
SW34,330.37,-79.71,0.0,top
SW35,349.42,-79.71,0.0,top
